"DEPARTAMENTO","PROVINCIA","MUNICIPIO","INSCRITOS RE-ELECCIÓN","INSCRITOS ELECCIÓN NACIONAL","DIFERENCIA INSCRITOS","DIFERENCIA INSCRITOS %","EMITIDOS RE-ELECCIÓN","EMITIDOS ELECCIÓN NACIONAL","DIFERENCIA EMITIDOS","DIFERENCIA EMITIDOS %","VÁLIDOS RE-ELECCIÓN","VÁLIDOS ELECCIÓN NACIONAL","DIFERENCIA VÁLIDOS","DIFERENCIA VÁLIDOS %","EVO RE-ELECCIÓN","EVO ELECCIÓN NACIONAL","DIFERENCIA EVO","EVO ELECCIÓN NACIONAL %","DIFERENCIA EVO % EN VOTOS","EVO RE-ELECCIÓN %","DIFERENCIA EVO % EN PORCENTAJES","PERDIDA"
"SANTA CRUZ","ÑUFLO DE CHAVEZ","CUATRO CAÑADAS",10062,9527,535,5.32,8704,8566,138,1.59,8196,8027,169,2.06,5098,6212,-1114,77.39,-21.85,62.2,-15.19,TRUE
"SANTA CRUZ","ÑUFLO DE CHAVEZ","SAN ANTONIO DE LOMERIO",2870,2756,114,3.97,2498,2471,27,1.08,2416,2359,57,2.36,1823,1872,-49,79.36,-2.69,75.46,-3.90000000000001,TRUE
"SANTA CRUZ","ÑUFLO DE CHAVEZ","SAN JAVIER",6501,6015,486,7.48,5493,5311,182,3.31,5289,5037,252,4.76,2234,2315,-81,45.96,-3.63,42.24,-3.72,TRUE
"SANTA CRUZ","ÑUFLO DE CHAVEZ","SAN JULIÁN",23050,22759,291,1.26,20178,20385,-207,-1.03,18735,19215,-480,-2.56,13272,16055,-2783,83.55,-20.97,70.84,-12.71,TRUE
"SANTA CRUZ","ÑUFLO DE CHAVEZ","SAN RAMÓN",4377,4056,321,7.33,3621,3587,34,0.94,3407,3321,86,2.52,1444,1495,-51,45.02,-3.53,42.38,-2.64,TRUE
"SANTA CRUZ","OBISPO SANTISTEVAN","FERNÁNDEZ ALONZO",6695,6609,86,1.28,5820,5749,71,1.22,5492,5366,126,2.29,3561,4241,-680,79.03,-19.1,64.84,-14.19,TRUE
"SANTA CRUZ","OBISPO SANTISTEVAN","GENERAL SAAVEDRA",7713,7433,280,3.63,6606,6693,-87,-1.32,6257,6210,47,0.75,3073,3787,-714,60.98,-23.23,49.11,-11.87,TRUE
"SANTA CRUZ","OBISPO SANTISTEVAN","MINEROS",13416,12740,676,5.04,11532,11240,292,2.53,10889,10430,459,4.22,4878,6452,-1574,61.86,-32.27,44.8,-17.06,TRUE
"SANTA CRUZ","OBISPO SANTISTEVAN","MONTERO",73737,70873,2864,3.88,63852,62249,1603,2.51,60739,59424,1315,2.17,25021,32243,-7222,54.26,-28.86,41.19,-13.07,TRUE
"SANTA CRUZ","OBISPO SANTISTEVAN","SAN PEDRO",7207,7078,129,1.79,6177,6059,118,1.91,5921,5717,204,3.45,3680,4508,-828,78.85,-22.5,62.15,-16.7,TRUE
"SANTA CRUZ","SARA","COLPA BÉLGICA",3596,3376,220,6.12,3047,2848,199,6.53,2965,2723,242,8.16,1130,1346,-216,49.43,-19.12,38.11,-11.32,TRUE
"SANTA CRUZ","SARA","PORTACHUELO",11402,10880,522,4.58,10110,9757,353,3.49,9729,9279,450,4.63,2315,2787,-472,30.04,-20.39,23.79,-6.25,TRUE
"SANTA CRUZ","SARA","SANTA ROSA DEL SARA",8521,8265,256,3,7187,7175,12,0.17,6882,6631,251,3.65,3720,4127,-407,62.24,-10.94,54.05,-8.19,TRUE
"SANTA CRUZ","VALLEGRANDE","MOROMORO",1606,1540,66,4.11,1426,1421,5,0.35,1320,1214,106,8.03,594,558,36,45.96,6.06,45,-0.960000000000001,FALSE
"SANTA CRUZ","VALLEGRANDE","POSTRERVALLE",1033,988,45,4.36,836,844,-8,-0.96,782,758,24,3.07,211,200,11,26.39,5.21,26.98,0.59,FALSE
"SANTA CRUZ","VALLEGRANDE","PUCARA",1068,1016,52,4.87,915,891,24,2.62,870,824,46,5.29,413,397,16,48.18,3.87,47.47,-0.710000000000001,FALSE
"SANTA CRUZ","VALLEGRANDE","TRIGAL",1222,1097,125,10.23,1018,952,66,6.48,912,862,50,5.48,416,411,5,47.68,1.2,45.61,-2.07,FALSE
"SANTA CRUZ","VALLEGRANDE","VALLEGRANDE",10934,10669,265,2.42,9353,9524,-171,-1.83,8731,8537,194,2.22,3086,3790,-704,44.39,-22.81,35.35,-9.04,TRUE
"SANTA CRUZ","VELASCO","SAN IGNACIO DE VELASCO",24417,22981,1436,5.88,19755,19594,161,0.81,18907,18009,898,4.75,6365,6349,16,35.25,0.25,33.66,-1.59,FALSE
"SANTA CRUZ","VELASCO","SAN MIGUEL DE VELASCO",5808,5353,455,7.83,4921,4698,223,4.53,4737,4347,390,8.23,2510,2270,240,52.22,9.56,52.99,0.770000000000003,FALSE
"SANTA CRUZ","VELASCO","SAN RAFAEL",2662,2381,281,10.56,2091,1933,158,7.56,2016,1808,208,10.32,701,527,174,29.15,24.82,34.77,5.62,FALSE
"SANTA CRUZ","WARNES","OKINAWA UNO",6045,5801,244,4.04,5256,5126,130,2.47,4958,4865,93,1.88,1644,2289,-645,47.05,-39.23,33.16,-13.89,TRUE
"SANTA CRUZ","WARNES","WARNES",61856,54273,7583,12.26,53514,47747,5767,10.78,50992,45616,5376,10.54,24424,26544,-2120,58.19,-8.68,47.9,-10.29,TRUE
"TARIJA","ARCE","BERMEJO",25617,24804,813,3.17,20219,21208,-989,-4.89,19309,19611,-302,-1.56,8889,11667,-2778,59.49,-31.25,46.04,-13.45,TRUE
"TARIJA","ARCE","PADCAYA",11809,11353,456,3.86,9733,10154,-421,-4.33,9254,9217,37,0.4,5968,6988,-1020,75.82,-17.09,64.49,-11.33,TRUE
"TARIJA","AVILEZ","URIONDO (CONCEPCIÓN)",9685,9451,234,2.42,8162,8444,-282,-3.46,7674,7429,245,3.19,3859,4446,-587,59.85,-15.21,50.29,-9.56,TRUE
