"PROCESO","INSCRITOS","EMITIDOS","VÁLIDOS","EVO"
"VARIACION:RE-ELECCIÓN SOBRE ELECCIÓN NACIONAL VOTO BOLIVIA",4.36,1.68,2.72,-21.98
"VARIACIÓN: RE-ELECCIÓN SOBRE ELECCIÓN NACIONAL VOTO EXTERIOR",-5.02,-107.86,-107.73,-192.34
"VARIACION:RE-ELECCIÓN SOBRE ELECCIÓN NACIONAL TOTAL",3.98,0.06,1.09,-24.63
